customer_id,Age,Income,Credit Score,Loan Amount,Tenure,Interest Rate,Existing EMI,Dependents,Experience_years,City,Job Type,Education Level,Marital Status,Loan Purpose,Credit Card Owner,Vehicle Owner,Default Flag,Default Status,Income_Clean,Credit Score_Clean,City_Clean,Job type _Clean,Education level_Clean,Risk Level,Income Segment,Loan Size Category
114905,57,87324.91,409,77032.96,48,16.35,3,3,28,Chennai,Freelancer,Masters,Divorced,Medical,No,Yes,1,Yes,87324.91,409,Chennai,Freelancer,Masters,High Risk,high,Large
108223,46,42367.4,747,214590.67,24,10.71,1,3,5,Mumbai,Salaried,PhD,Single,Business,No,Yes,1,Yes,42367.4,747,Mumbai,Salaried,PhD,High Risk,high,Large
102868,37,40013.34,570,363060.52,12,26.59,2,3,29,Kolkata,Salaried,Diploma,Married,Medical,Yes,No,1,Yes,40013.34,570,Kolkata,Salaried,Diploma,High Risk,high,Large
102342,58,57885.33,597,192230.02,24,25.04,1,0,7,Mumbai,Business,Diploma,Divorced,Car,Yes,No,1,Yes,57885.33,597,Mumbai,Business,Diploma,High Risk,high,Large
108832,47,30010.96,639,53356.18,36,23.35,2,4,26,Pune,Business,HighSchool,Divorced,Business,Yes,No,1,Yes,30010.96,639,Pune,Business,HighSchool,High Risk,high,Medium
107932,54,54049.1,414,254724,24,12.92,3,2,3,Hyderabad,Freelancer,Bachelors,Divorced,Car,Yes,No,1,Yes,54049.1,414,Hyderabad,Freelancer,Bachelors,High Risk,high,Large
116557,59,101151.98,776,5000,24,27.79,1,5,32,Bangalore,Student,PhD,Single,Business,Yes,No,0,No,101151.98,776,Bangalore,Student,PhD,Very Low Risk,high,Small
120604,59,44413.67,330,194896.9,48,7.49,3,5,1,Chennai,Salaried,PhD,Divorced,Business,No,No,1,Yes,44413.67,330,Chennai,Salaried,PhD,High Risk,high,Large
112983,45,,803,162320.37,6,14.84,1,4,3,Mumbai,Salaried,Bachelors,Married,Travel,Yes,No,1,Yes,55020.04,803,Mumbai,Salaried,Bachelors,High Risk,high,Large
103014,29,100390.04,608,5000,24,21.6,2,3,23,Hyderabad,Student,HighSchool,Married,Car,No,Yes,1,Yes,100390.04,608,Hyderabad,Student,HighSchool,High Risk,high,Small
127331,24,39537.88,899,344557,12,24.61,1,0,2,Chennai,Unemployed,PhD,Married,Car,No,No,1,Yes,39537.88,899,Chennai,Unemployed,PhD,High Risk,high,Large
112124,54,39246,708,24711.41,12,21.65,0,2,16,Jaipur,Unemployed,HighSchool,Married,Business,No,No,1,Yes,39246,708,Jaipur,Unemployed,HighSchool,High Risk,high,Small
103752,56,36418.33,528,306006.72,36,7.56,1,1,26,Bangalore,Student,PhD,Married,Travel,Yes,Yes,1,Yes,36418.33,528,Bangalore,Student,PhD,High Risk,high,Large
127387,18,58173.68,679,306623.3,24,9.84,2,0,18,Chennai,Freelancer,PhD,Single,Home,Yes,No,1,Yes,58173.68,679,Chennai,Freelancer,PhD,High Risk,high,Large
112335,64,8000,320,210174.08,36,25,2,4,20,Hyderabad,Student,PhD,Single,Medical,Yes,No,1,Yes,8000,320,Hyderabad,Student,PhD,High Risk,high,Large
111544,23,53370.95,715,10369.08,18,26.13,1,0,7,Jaipur,Business,PhD,Divorced,Personal,Yes,No,1,Yes,53370.95,715,Jaipur,Business,PhD,High Risk,high,Small
111356,59,59122.77,488,341839.6,6,15.06,3,2,29,Kolkata,Student,Bachelors,Single,Business,Yes,Yes,1,Yes,59122.77,488,Kolkata,Student,Bachelors,High Risk,high,Large
102676,27,87369.14,333,112951.4,24,20.32,3,1,20,Mumbai,Student,PhD,Divorced,Education,No,No,1,Yes,87369.14,333,Mumbai,Student,PhD,High Risk,high,Large
128738,28,54955.58,778,62988.65,12,8,1,0,1,Chennai,Student,PhD,Divorced,Home,No,Yes,1,Yes,54955.58,778,Chennai,Student,PhD,High Risk,high,Medium
129995,22,42483.08,371,5000,6,25.62,2,2,11,Jaipur,,PhD,Married,Home,Yes,Yes,1,Yes,42483.08,371,Jaipur,unknown,PhD,High Risk,high,Small
120747,33,46913.73,878,190608.85,6,7.99,1,3,21,Bangalore,Freelancer,Masters,Divorced,Medical,No,Yes,1,Yes,46913.73,878,Bangalore,Freelancer,Masters,High Risk,high,Large
113375,27,74396.99,,380823.54,6,13.43,1,4,34,Jaipur,Unemployed,Diploma,Divorced,Car,No,No,1,Yes,74396.99,601,Jaipur,Unemployed,Diploma,High Risk,high,Large
117986,31,68623.82,612,188704.52,18,25.16,0,4,6,Jaipur,Unemployed,PhD,Single,Personal,No,Yes,1,Yes,68623.82,612,Jaipur,Unemployed,PhD,High Risk,high,Large
107885,42,39362.72,450,186127.43,12,12.64,2,2,1,,Freelancer,HighSchool,Single,Home,Yes,Yes,1,Yes,39362.72,450,unknown,Freelancer,HighSchool,High Risk,high,Large
113332,56,72115.92,378,370682.89,48,20.91,1,3,18,Kolkata,Student,Bachelors,Single,Medical,Yes,Yes,1,Yes,72115.92,378,Kolkata,Student,Bachelors,High Risk,high,Large
109585,53,27839.15,390,270066.39,48,27.63,1,5,7,Mumbai,Unemployed,Bachelors,Single,Business,No,Yes,1,Yes,27839.15,390,Mumbai,Unemployed,Bachelors,High Risk,high,Large
106332,50,76881.69,743,409976.68,12,16.11,1,5,22,Chennai,Freelancer,Masters,Divorced,Education,Yes,Yes,0,No,76881.69,743,Chennai,Freelancer,Masters,Very Low Risk,high,Large
124429,60,78610.22,612,178250.28,60,15.62,1,2,0,Bangalore,Unemployed,HighSchool,Single,Personal,Yes,Yes,1,Yes,78610.22,612,Bangalore,Unemployed,HighSchool,High Risk,high,Large
118079,51,67698.18,791,467259.21,48,7.49,4,2,16,Delhi,Unemployed,Bachelors,Married,Car,No,Yes,1,Yes,67698.18,791,Delhi,Unemployed,Bachelors,High Risk,high,Large
105201,32,53317.65,486,175259.89,12,23.43,2,2,38,Kolkata,Business,Diploma,Married,Home,Yes,Yes,1,Yes,53317.65,486,Kolkata,Business,Diploma,High Risk,high,Large
100747,54,30258.04,789,183041.48,24,25.15,2,1,38,Delhi,Freelancer,Diploma,Married,Business,No,No,1,Yes,30258.04,789,Delhi,Freelancer,Diploma,High Risk,high,Large
109760,41,50213.52,569,69679.27,6,24.24,2,2,29,Hyderabad,Salaried,Diploma,Married,Home,Yes,No,1,Yes,50213.52,569,Hyderabad,Salaried,Diploma,High Risk,high,Medium
129612,64,57795.57,702,186570.65,18,22.64,1,3,24,Hyderabad,Salaried,Bachelors,Married,Personal,Yes,No,0,No,57795.57,702,Hyderabad,Salaried,Bachelors,Very Low Risk,high,Large
119992,31,49855.54,466,72123.22,60,21.47,5,3,27,Hyderabad,Unemployed,Diploma,Divorced,Car,Yes,Yes,1,Yes,49855.54,466,Hyderabad,Unemployed,Diploma,High Risk,high,Large
123189,20,40540.59,,152230.49,48,26.5,1,5,0,Chennai,Freelancer,HighSchool,Divorced,Business,No,No,1,Yes,40540.59,601,Chennai,Freelancer,HighSchool,High Risk,high,Large
125535,36,43352.44,529,203942.56,48,26.59,2,1,17,Chennai,Student,HighSchool,Divorced,Medical,Yes,No,1,Yes,43352.44,529,Chennai,Student,HighSchool,High Risk,high,Large
117963,29,78232.66,603,110281.52,48,11.45,2,2,17,Delhi,Unemployed,Bachelors,Married,Business,Yes,No,1,Yes,78232.66,603,Delhi,Unemployed,Bachelors,High Risk,high,Large
125246,27,67881.8,379,128536.66,24,24.01,1,4,35,Delhi,Business,Bachelors,Single,Education,Yes,Yes,1,Yes,67881.8,379,Delhi,Business,Bachelors,High Risk,high,Large
105081,25,78561.99,487,306985.08,12,17.75,1,0,3,Mumbai,Business,Masters,Divorced,Business,No,No,1,Yes,78561.99,487,Mumbai,Business,Masters,High Risk,high,Large
109350,63,85545.65,816,150151.53,18,16.37,1,3,38,Delhi,Student,Bachelors,Married,Travel,No,No,1,Yes,85545.65,816,Delhi,Student,Bachelors,High Risk,high,Large
110982,22,47016.39,445,351516.22,24,21.81,0,1,1,Jaipur,Freelancer,Diploma,Married,Travel,No,No,1,Yes,47016.39,445,Jaipur,Freelancer,Diploma,High Risk,high,Large
123621,27,53631.56,353,5000,48,20.69,1,5,19,Pune,Salaried,Bachelors,Divorced,Travel,No,Yes,1,Yes,53631.56,353,Pune,Salaried,Bachelors,High Risk,high,Small
113235,26,25631.53,513,162530.78,6,10,2,5,30,Jaipur,Unemployed,Masters,Single,Medical,No,Yes,1,Yes,25631.53,513,Jaipur,Unemployed,Masters,High Risk,high,Large
119367,26,95025.16,563,87505.97,48,15.61,1,4,1,Delhi,Salaried,PhD,Married,Medical,Yes,No,0,No,95025.16,563,Delhi,Salaried,PhD,Medium Risk,high,Large
101190,60,,852,165971.6,18,7.22,2,0,13,Kolkata,,HighSchool,Married,Education,No,No,1,Yes,55020.04,852,Kolkata,unknown,HighSchool,High Risk,high,Large
100821,64,79030.4,733,294989.88,18,9.35,0,0,30,Pune,Business,HighSchool,Single,Medical,No,Yes,1,Yes,79030.4,733,Pune,Business,HighSchool,High Risk,high,Large
115878,49,25875.33,892,194354.45,18,20.24,1,2,1,Delhi,Unemployed,Bachelors,Divorced,Business,Yes,No,1,Yes,25875.33,892,Delhi,Unemployed,Bachelors,High Risk,high,Large
120497,62,43621.88,450,276635.03,18,20.51,2,4,19,Bangalore,Unemployed,Masters,Divorced,Home,Yes,Yes,1,Yes,43621.88,450,Bangalore,Unemployed,Masters,High Risk,high,Large
109419,50,86821.09,351,240732.94,48,25.5,1,4,28,Mumbai,Student,Bachelors,Single,Education,Yes,Yes,1,Yes,86821.09,351,Mumbai,Student,Bachelors,High Risk,high,Large
128100,54,78354.62,814,5000,36,12.07,2,0,17,Bangalore,Business,PhD,Married,Home,Yes,No,1,Yes,78354.62,814,Bangalore,Business,PhD,High Risk,high,Small
108892,50,49617.03,859,274614.21,48,15.27,1,4,2,Bangalore,Salaried,PhD,Single,Business,No,No,1,Yes,49617.03,859,Bangalore,Salaried,PhD,High Risk,high,Large
104461,20,10588.17,888,204092.47,12,16.22,3,3,8,Kolkata,Freelancer,,Divorced,Medical,Yes,No,1,Yes,10588.17,888,Kolkata,Freelancer,unknown,High Risk,high,Large
125229,34,74145.67,321,137777.27,6,25.31,3,0,19,Chennai,Salaried,Masters,Married,Education,Yes,Yes,1,Yes,74145.67,321,Chennai,Salaried,Masters,High Risk,high,Large
129985,41,87736.03,439,167068.65,36,22.62,1,4,23,Hyderabad,Student,PhD,Single,Car,Yes,No,1,Yes,87736.03,439,Hyderabad,Student,PhD,High Risk,high,Large
112606,18,,707,237323.44,36,20.46,3,0,5,Kolkata,Unemployed,PhD,Single,Personal,Yes,Yes,1,Yes,55020.04,707,Kolkata,Unemployed,PhD,High Risk,high,Large
125978,50,39685.68,757,489480.62,48,9.5,2,2,14,Mumbai,Business,HighSchool,Married,Education,No,Yes,1,Yes,39685.68,757,Mumbai,Business,HighSchool,High Risk,high,Large
119132,20,84992.17,872,214778,24,11.64,1,2,35,Bangalore,Freelancer,HighSchool,Divorced,Education,No,No,1,Yes,84992.17,872,Bangalore,Freelancer,HighSchool,High Risk,high,Large
114740,52,68956.62,335,370328.35,12,10.1,1,4,14,Kolkata,Student,Masters,Single,Car,No,No,1,Yes,68956.62,335,Kolkata,Student,Masters,High Risk,high,Large
112146,40,76697.68,531,253607.75,6,25.65,2,2,11,Bangalore,Freelancer,Diploma,Single,Business,Yes,Yes,1,Yes,76697.68,531,Bangalore,Freelancer,Diploma,High Risk,high,Large
102744,32,21040.93,556,260252.76,18,23.03,0,1,23,Pune,Freelancer,HighSchool,Single,Travel,Yes,Yes,1,Yes,21040.93,556,Pune,Freelancer,HighSchool,High Risk,high,Large
110114,61,58240.3,584,5000,60,27.07,3,5,6,Kolkata,Student,Masters,Divorced,Business,Yes,Yes,1,Yes,58240.3,584,Kolkata,Student,Masters,High Risk,high,Small
102383,29,44223.36,640,103273.03,6,10.39,3,3,14,Hyderabad,Freelancer,HighSchool,Single,Medical,Yes,No,0,No,44223.36,640,Hyderabad,Freelancer,HighSchool,Low Risk,high,Large
109153,39,48633.57,,154123.33,18,17.26,2,2,29,Mumbai,Salaried,HighSchool,Married,Car,No,No,1,Yes,48633.57,601,Mumbai,Salaried,HighSchool,High Risk,high,Large
101406,26,34766.7,319,106775.56,48,7.86,2,3,16,Pune,Freelancer,PhD,Married,Home,No,No,1,Yes,34766.7,319,Pune,Freelancer,PhD,High Risk,high,Large
116560,63,106084.37,695,456514.55,6,26.93,0,5,5,Chennai,Salaried,PhD,Divorced,Business,No,Yes,1,Yes,106084.37,695,Chennai,Salaried,PhD,High Risk,high,Large
119361,41,,667,18738.8,60,14.17,3,0,12,Delhi,Freelancer,HighSchool,Married,Home,Yes,Yes,1,Yes,55020.04,667,Delhi,Freelancer,HighSchool,High Risk,high,Small
110342,64,15574.72,436,298132.04,48,9.66,1,0,22,Jaipur,Student,Diploma,Single,Personal,Yes,Yes,1,Yes,15574.72,436,Jaipur,Student,Diploma,High Risk,high,Large
127756,53,62101.02,500,401397.72,60,16.3,3,3,13,Hyderabad,Freelancer,Masters,Divorced,Travel,Yes,Yes,1,Yes,62101.02,500,Hyderabad,Freelancer,Masters,High Risk,high,Large
117614,31,90136.66,422,160003.48,60,8.08,2,0,7,Jaipur,Business,HighSchool,Married,Business,Yes,Yes,1,Yes,90136.66,422,Jaipur,Business,HighSchool,High Risk,high,Large
119906,25,66672.87,688,219752.99,48,10.07,2,0,39,,Freelancer,Diploma,Married,Car,No,Yes,1,Yes,66672.87,688,unknown,Freelancer,Diploma,High Risk,high,Large
124530,55,62575.04,528,39177.02,6,11.79,1,2,6,Mumbai,Unemployed,Bachelors,Divorced,Home,No,Yes,0,No,62575.04,528,Mumbai,Unemployed,Bachelors,Medium Risk,high,Medium
127308,43,19187.11,527,326829.8,36,25.81,2,4,18,Pune,Salaried,Masters,Divorced,Travel,Yes,No,1,Yes,19187.11,527,Pune,Salaried,Masters,High Risk,high,Large
117788,55,58224.75,681,197583.65,60,23.48,0,2,6,Jaipur,Business,PhD,Single,Personal,No,Yes,0,No,58224.75,681,Jaipur,Business,PhD,Low Risk,high,Large
113075,51,37983.22,339,101134.35,6,23.14,0,0,39,Chennai,,HighSchool,Married,Travel,Yes,No,1,Yes,37983.22,339,Chennai,unknown,HighSchool,High Risk,high,Large
122089,57,64905.76,428,347388.67,48,10.86,3,2,4,Pune,Business,Bachelors,Married,Medical,No,Yes,1,Yes,64905.76,428,Pune,Business,Bachelors,High Risk,high,Large
128573,45,,600,209886.51,18,20.23,0,2,25,Mumbai,Business,Bachelors,Single,Education,No,Yes,0,No,55020.04,600,Mumbai,Business,Bachelors,Low Risk,high,Large
120568,38,60448.71,773,203506.79,12,21.72,0,3,24,Bangalore,Unemployed,,Single,Home,Yes,Yes,1,Yes,60448.71,773,Bangalore,Unemployed,unknown,High Risk,high,Large
117890,26,81127.45,890,350623.54,6,9.85,2,1,32,Bangalore,Student,Masters,Single,Business,No,Yes,1,Yes,81127.45,890,Bangalore,Student,Masters,High Risk,high,Large
116837,27,88288.47,657,144112.98,60,23.36,1,4,10,Hyderabad,Unemployed,HighSchool,Single,Business,No,Yes,1,Yes,88288.47,657,Hyderabad,Unemployed,HighSchool,High Risk,high,Large
106552,37,30264.68,388,133073.65,18,14.1,1,0,33,Jaipur,Unemployed,HighSchool,Single,Personal,Yes,No,1,Yes,30264.68,388,Jaipur,Unemployed,HighSchool,High Risk,high,Large
119637,39,112710.06,493,112558.54,12,11.5,3,5,10,Mumbai,Business,Bachelors,Single,Travel,Yes,Yes,0,No,112710.06,493,Mumbai,Business,Bachelors,Medium Risk,high,Large
118294,52,45746.93,710,210324.36,6,15.21,2,3,4,Jaipur,Student,Masters,Single,Medical,No,Yes,1,Yes,45746.93,710,Jaipur,Student,Masters,High Risk,high,Large
102876,56,30141.59,568,130660.21,36,15.76,0,1,24,Mumbai,Student,Masters,Divorced,Travel,Yes,Yes,1,Yes,30141.59,568,Mumbai,Student,Masters,High Risk,high,Large
102982,50,61363.8,692,474617.97,60,16.93,1,2,0,Delhi,Business,Diploma,Divorced,Home,Yes,No,1,Yes,61363.8,692,Delhi,Business,Diploma,High Risk,high,Large
117410,63,15163.21,558,212008.71,36,27.31,0,5,4,Kolkata,Unemployed,PhD,Married,Personal,No,No,1,Yes,15163.21,558,Kolkata,Unemployed,PhD,High Risk,high,Large
115162,43,54641.76,781,138573.53,24,25.42,1,2,30,Mumbai,Student,HighSchool,Single,Travel,No,No,0,No,54641.76,781,Mumbai,Student,HighSchool,Very Low Risk,high,Large
102153,38,70467.21,391,333783.72,48,22.51,3,1,13,Bangalore,Salaried,HighSchool,Divorced,Medical,Yes,No,1,Yes,70467.21,391,Bangalore,Salaried,HighSchool,High Risk,high,Large
118700,24,91137.21,768,196164.16,48,9.93,2,1,29,Mumbai,Unemployed,Diploma,Divorced,Business,Yes,Yes,1,Yes,91137.21,768,Mumbai,Unemployed,Diploma,High Risk,high,Large
107667,61,32109.77,764,37751.14,48,11.12,2,3,34,Delhi,Freelancer,PhD,Single,Personal,Yes,Yes,1,Yes,32109.77,764,Delhi,Freelancer,PhD,High Risk,high,Medium
115243,58,51840.18,664,270730.62,24,13.91,1,5,29,Delhi,Freelancer,Diploma,Married,Car,Yes,No,1,Yes,51840.18,664,Delhi,Freelancer,Diploma,High Risk,high,Large
116857,40,21040.83,741,503404.9,24,27.05,1,5,20,Bangalore,Unemployed,PhD,Married,Travel,No,Yes,1,Yes,21040.83,741,Bangalore,Unemployed,PhD,High Risk,high,Large
113961,22,49137.8,622,205259.27,48,14.62,0,5,33,Chennai,Business,,Divorced,Travel,No,No,1,Yes,49137.8,622,Chennai,Business,unknown,High Risk,high,Large
100217,49,92368.17,358,5000,24,14.94,2,1,4,Chennai,Salaried,Diploma,Single,Travel,No,Yes,0,No,92368.17,358,Chennai,Salaried,Diploma,Medium Risk,high,Small
123287,45,52937.34,821,367407.64,18,25.3,3,5,14,Chennai,Salaried,Diploma,Divorced,Personal,Yes,Yes,1,Yes,52937.34,821,Chennai,Salaried,Diploma,High Risk,high,Large
102213,21,57510.55,581,120216.54,60,14.92,1,5,18,Bangalore,Student,HighSchool,Single,Business,No,No,1,Yes,57510.55,581,Bangalore,Student,HighSchool,High Risk,high,Large
106580,31,68891.54,807,5000,36,15.18,0,0,9,Mumbai,Salaried,Diploma,Divorced,Business,Yes,No,1,Yes,68891.54,807,Mumbai,Salaried,Diploma,High Risk,high,Small
127602,62,71540.54,331,220267.16,18,16.48,1,0,14,Kolkata,Student,Masters,Married,Car,No,No,1,Yes,71540.54,331,Kolkata,Student,Masters,High Risk,high,Large
119376,33,34706.49,595,22313.9,60,27.05,3,3,36,Hyderabad,Business,Diploma,Divorced,Education,Yes,No,1,Yes,34706.49,595,Hyderabad,Business,Diploma,High Risk,high,Small
107539,47,56048.99,436,5000,24,13.55,2,1,15,Hyderabad,Student,Masters,Married,Personal,No,No,1,Yes,56048.99,436,Hyderabad,Student,Masters,High Risk,high,Small
